INDUSINDBK.csv,Reliance.csv,Bajaj_Finserv.csv,Axis.csv,Kotakbank.csv,TITAN.csv,TECHM.csv,LT.csv,MarutiSuzuki.csv,TATASTEEL.csv,Bharti_Airtel.csv,HDFC_BANK.csv,Nestle_India.csv,TCS.csv,ITC.csv,HEROMOTOCO.csv,icici.csv,ONGC.csv,HCL.csv,POWERGRID.csv,BAJAJ-AUTO.csv,HU.csv,Infosys.csv,ULTRACEMCO.csv,SBI.csv,Sun_Pharma.csv,NTPC.csv,MnM.csv,AsianPaints.csv,HDFC.csv
1145.35,2351.95,1368.9,871.75,1765.5,2466.75,1011.05,2130.85,8834.7,111.45,775.1,1654.0,18994.9,3520.1,375.55,2614.65,859.1,143.9,1145.0,212.0,3880.3,2582.8,1590.5,7250.35,549.75,1013.0,165.5,1373.05,2765.6,2685.8
1142.9,2305.9,1350.4,879.1,1775.4,2446.9,1002.45,2165.3,8762.45,111.45,785.9,1654.2,18978.0,3472.55,373.25,2652.6,852.75,144.65,1128.25,216.85,3879.45,2601.2,1562.4,7071.8,547.1,1006.4,165.25,1366.7,2758.05,2679.2
1129.15,2311.45,1343.05,882.65,1747.0,2458.0,1005.35,2156.1,8908.0,117.45,789.25,1651.75,19021.5,3459.95,383.4,2695.0,853.7,143.5,1145.7,217.05,3849.1,2637.6,1569.85,7127.25,545.4,1023.35,166.05,1376.0,2754.2,2683.15
1103.55,2329.0,1337.45,882.6,1780.3,2463.1,1011.3,2166.55,8942.3,120.35,792.9,1658.8,19004.3,3482.3,380.65,2654.25,863.8,144.3,1146.15,214.85,3852.55,2648.75,1599.4,7189.2,544.2,1028.15,165.55,1388.0,2760.4,2694.65
1075.9,2326.95,1271.9,868.45,1761.75,2308.1,1016.65,2144.9,8870.15,119.95,777.75,1603.35,18954.6,3460.4,378.6,2660.95,857.9,143.45,1149.6,212.7,3790.7,2634.85,1583.75,7167.65,528.1,1007.6,166.9,1352.4,2705.65,2613.3
1041.85,2339.9,1268.3,857.25,1744.7,2345.9,1023.75,2145.55,8768.85,122.05,769.1,1627.55,19089.85,3408.35,361.4,2727.25,847.95,144.25,1132.1,216.55,3811.3,2574.25,1551.1,7141.4,527.35,1014.9,170.0,1352.05,2743.75,2661.7
1082.95,2353.85,1342.45,871.6,1731.0,2377.15,1015.0,2124.4,8895.3,119.7,770.3,1603.5,19017.75,3358.7,352.35,2763.25,831.9,144.9,1122.2,216.65,3818.25,2576.75,1533.75,7085.55,553.5,1034.5,171.15,1378.75,2725.85,2622.95
1089.05,2359.75,1343.85,871.85,1726.25,2335.55,1036.1,2112.9,8817.0,118.75,770.2,1614.15,19165.9,3433.65,344.8,2702.3,823.5,144.9,1134.75,211.85,3841.15,2568.15,1538.8,6887.7,538.2,1051.7,168.85,1331.6,2766.2,2648.2
1116.4,2337.35,1314.2,873.75,1713.1,2331.25,1030.1,2159.85,8737.5,120.65,774.5,1615.8,19216.35,3411.05,346.0,2736.15,817.2,147.65,1115.6,219.25,3936.75,2612.15,1519.15,6715.6,539.95,1043.4,166.3,1320.2,2722.65,2661.5
1156.15,2382.55,1314.35,892.35,1749.8,2356.6,1051.15,2174.7,8784.1,121.0,776.5,1648.65,19235.5,3429.75,339.25,2785.0,855.3,152.45,1122.75,219.4,3717.4,2622.35,1543.0,6705.1,568.7,1040.05,165.9,1311.5,2775.0,2710.6
1212.3,2415.95,1332.7,910.2,1760.25,2370.75,1070.6,2207.5,8698.8,120.4,775.65,1695.5,19290.7,3436.3,338.95,2771.9,870.75,152.15,1137.85,220.95,3686.5,2600.5,1551.9,6809.7,594.35,1040.7,166.05,1323.9,2810.6,2775.4
1204.7,2430.3,1332.75,932.7,1783.75,2364.7,1065.3,2233.5,8417.1,122.0,772.7,1673.1,19367.1,3414.9,337.75,2774.6,871.7,152.35,1121.2,225.1,3623.55,2596.4,1548.0,6849.75,600.45,1049.3,166.85,1328.45,2784.45,2741.9
1202.45,2442.65,1333.2,930.55,1762.9,2371.3,1046.5,2249.95,8439.8,122.95,764.45,1660.95,19200.05,3363.1,334.6,2746.45,870.35,151.6,1107.8,223.25,3572.75,2548.75,1525.55,7177.15,592.2,1030.35,168.7,1314.75,2787.8,2715.95
1200.55,2472.05,1355.15,928.7,1767.3,2385.05,1053.3,2273.1,8501.65,123.55,772.0,1644.1,19681.1,3373.1,332.15,2769.55,866.15,151.75,1111.4,220.75,3575.95,2649.75,1538.9,7212.35,589.85,1040.55,168.7,1319.55,2866.15,2691.7
1223.0,2474.7,1367.3,924.0,1799.1,2424.1,1048.35,2266.5,8494.05,122.45,776.55,1637.3,19823.35,3390.0,334.65,2769.95,869.5,149.25,1115.15,219.35,3609.9,2686.2,1545.4,7283.45,591.45,1040.1,169.45,1322.15,2945.25,2687.65
1230.35,2478.8,1372.9,917.7,1797.65,2407.95,1046.05,2213.1,8479.35,119.35,765.7,1608.9,19945.75,3378.4,332.25,2766.85,865.15,147.85,1111.05,218.4,3606.95,2667.55,1539.5,7377.65,592.95,1032.7,167.7,1320.85,2940.9,2640.65
1239.25,2444.1,1383.9,913.15,1784.8,2405.85,1034.45,2137.2,8380.1,119.95,759.15,1585.3,19735.6,3334.05,330.2,2758.6,865.25,147.6,1093.7,215.65,3583.15,2597.1,1525.5,7284.85,603.0,1035.45,165.95,1315.6,2916.05,2594.8
1234.4,2467.6,1391.15,934.15,1780.3,2417.2,1003.15,2153.4,8453.4,120.45,764.3,1600.65,19784.35,3374.55,328.75,2728.45,873.45,146.95,1077.8,214.0,3605.3,2624.0,1503.65,7248.9,600.1,1031.6,167.8,1328.15,2909.15,2621.65
1209.15,2471.6,1387.8,935.55,1779.5,2446.6,1001.55,2159.75,8369.2,118.1,756.9,1599.4,19873.25,3334.35,329.85,2694.25,860.65,146.15,1071.65,213.5,3570.3,2590.05,1480.6,7153.35,594.9,1032.85,165.95,1319.9,2915.95,2612.8
1213.25,2526.15,1399.7,949.75,1801.85,2437.4,1006.35,2125.35,8284.45,118.85,765.55,1590.9,19758.3,3328.7,331.8,2693.75,866.3,146.8,1054.8,211.95,3538.05,2593.25,1471.25,7021.95,596.7,1028.0,166.05,1312.6,2940.4,2594.85
1227.55,2558.4,1413.3,952.15,1795.55,2468.2,1002.65,2106.65,8293.15,118.85,792.85,1568.3,20023.95,3286.4,333.4,2712.05,861.35,149.35,1063.85,211.8,3574.2,2643.85,1469.75,6920.3,595.15,1011.85,167.95,1314.9,2960.35,2575.35
1218.65,2596.8,1414.0,958.75,1811.9,2484.65,1015.25,2121.7,8377.0,117.55,819.4,1597.5,20085.7,3319.95,338.05,2752.35,873.35,148.15,1067.45,209.1,3620.75,2624.05,1484.45,7034.85,607.7,1016.85,170.4,1310.35,2984.15,2615.9
